#t (yr), a_m (R_p), e_m, a_p (AU), e_p, alpha (''/yr), spin_period (hr), obliquity (deg), phase (deg), i_p (deg), Omg_p (deg),S_x,S_y,S_z
0.00000e+00,8.6519,0.00000,0.2700,0.03000,2598.280385,5.000000,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.10156805e+04
1.00000e+02,8.7288,0.00073,0.2702,0.03055,2589.794878,5.006494,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.10013927e+04
2.00000e+02,8.8113,0.00085,0.2706,0.03025,2574.059552,5.012665,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09878473e+04
3.00000e+02,8.8812,0.00084,0.2702,0.03163,2579.613536,5.018547,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09749698e+04
4.00000e+02,8.9567,0.00023,0.2701,0.03082,2580.946498,5.024166,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09626961e+04
5.00000e+02,9.0288,0.00094,0.2700,0.03016,2579.717071,5.029545,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09509704e+04
6.00000e+02,9.0879,0.00108,0.2702,0.03073,2570.427090,5.034707,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09397443e+04
7.00000e+02,9.1537,0.00060,0.2701,0.03175,2569.724925,5.039668,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09289754e+04
8.00000e+02,9.2129,0.00024,0.2704,0.03154,2559.538385,5.044444,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09186266e+04
9.00000e+02,9.2716,0.00147,0.2702,0.03067,2561.789001,5.049051,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.09086651e+04
1.00000e+03,9.3283,0.00054,0.2703,0.03064,2556.633766,5.053499,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08990618e+04
2.00000e+03,9.8259,0.00136,0.2700,0.03174,2541.775180,5.091297,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.08181481e+04
3.00000e+03,10.2039,0.00163,0.2701,0.03178,2521.538102,5.120839,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07557376e+04
4.00000e+03,10.5295,0.00018,0.2706,0.03064,2495.325793,5.145236,0.000000,0.000000,0.000000,0.000000,0.00000000e+00,0.00000000e+00,1.07047375e+04
