#M_p, a_p, am_o, am_f, em_o, max em, em_dot, sim_time, sim_time/P_p, stab_flag (0 = stable), done_flag (0 = done)
1.02,0.097,8.6519,15.0735,0.0000,0.0928,3.3044e-01,3.1000e+04,4.9212e+05,-1,0
1.10,0.132,8.6519,20.6094,0.0000,0.1163,4.6039e-01,3.1000e+05,3.1000e+06,-1,0
1.59,0.112,8.6519,19.6726,0.0000,0.1035,4.3474e-01,2.8000e+05,3.5826e+06,-1,0
1.03,0.149,8.6519,22.6563,0.0000,0.0963,4.4712e-01,5.4200e+05,4.5194e+06,-1,0
1.61,0.114,8.6519,20.1393,0.0000,0.0980,4.2078e-01,3.1100e+05,3.8750e+06,-1,0
1.21,0.141,8.6519,22.6942,0.0000,0.0928,4.4054e-01,5.8100e+05,5.2627e+06,-1,0
1.28,0.145,8.6519,23.7305,0.0000,0.1013,4.2627e-01,8.1400e+05,7.0703e+06,-1,0
1.19,0.089,8.6519,14.2678,0.0000,0.0974,3.1184e-01,2.5000e+04,4.5156e+05,-1,0
2.00,0.112,8.6519,21.2632,0.0000,0.1079,4.3817e-01,5.7300e+05,7.3315e+06,-1,0
1.97,0.090,8.6519,17.0504,0.0000,0.1074,4.0175e-01,1.2300e+05,2.1848e+06,-1,0
1.44,0.096,8.6519,16.4852,0.0000,0.1028,3.8879e-01,7.5000e+04,1.2093e+06,-1,0
0.82,0.125,8.6519,17.6924,0.0000,0.0889,4.4028e-01,8.6000e+04,9.3325e+05,-1,0
0.96,0.080,8.6519,12.0287,0.0000,0.0878,1.3453e-01,6.1000e+03,1.2929e+05,-1,0
2.00,0.086,8.6519,16.4548,0.0000,0.1008,3.6792e-01,1.0000e+05,1.9016e+06,-1,0
1.03,0.162,8.6519,24.7567,0.0000,0.0915,4.6392e-01,9.6100e+05,7.0683e+06,-1,0
1.51,0.156,8.6519,27.0195,0.0000,0.1022,4.6884e-01,2.2800e+06,1.7746e+07,-1,0
1.00,0.099,8.6519,15.0339,0.0000,0.0809,3.0943e-01,3.3000e+04,5.0807e+05,-1,0
0.91,0.081,8.6519,11.8248,0.0000,0.0928,1.8599e-01,5.5000e+03,1.1442e+05,-1,0
1.87,0.085,8.6519,15.7844,0.0000,0.0934,3.5299e-01,7.2000e+04,1.3934e+06,-1,0
1.45,0.084,8.6519,14.4664,0.0000,0.1027,3.6741e-01,3.4000e+04,6.6977e+05,-1,0
1.63,0.151,8.6519,26.7348,0.0000,0.0891,4.4721e-01,2.3500e+06,1.9207e+07,-1,0
0.90,0.141,8.6519,20.5838,0.0000,0.0939,4.3015e-01,2.6900e+05,2.4366e+06,-1,0
0.90,0.177,8.6519,25.8471,0.0000,0.0947,4.3865e-01,1.2210e+06,7.8636e+06,-1,0
1.08,0.098,8.6519,15.1919,0.0000,0.1163,3.0636e-01,3.8000e+04,5.9403e+05,-1,0
0.85,0.137,8.6519,19.5555,0.0000,0.0994,4.2189e-01,1.8400e+05,1.7402e+06,-1,0
1.99,0.136,8.6519,25.7768,0.0000,0.3816,5.3785e-01,1.4870e+06,1.4219e+07,-1,0
1.39,0.093,8.6519,15.8522,0.0000,0.1232,3.3284e-01,5.6000e+04,9.4695e+05,-1,0
1.22,0.155,8.6519,24.9248,0.0000,0.0994,4.4160e-01,1.1520e+06,9.0535e+06,-1,0
1.62,0.149,8.6519,26.3513,0.0000,0.0940,4.6727e-01,2.0160e+06,1.6810e+07,-1,0
1.88,0.106,8.6519,19.7065,0.0000,0.0954,4.4485e-01,3.0600e+05,4.2523e+06,-1,0
1.19,0.104,8.6519,16.7113,0.0000,0.1193,4.2101e-01,8.1000e+04,1.1582e+06,-1,0
1.00,0.135,8.6519,20.4568,0.0000,0.1095,4.5717e-01,2.6200e+05,2.5332e+06,-1,0
0.90,0.160,8.6519,23.3701,0.0000,0.0925,4.3775e-01,6.1900e+05,4.6385e+06,-1,0
1.26,0.105,8.6519,17.2413,0.0000,0.0956,4.0043e-01,9.9000e+04,1.3955e+06,-1,0
1.04,0.154,8.6519,23.5324,0.0000,0.0939,4.7180e-01,6.9800e+05,5.5391e+06,-1,0
1.09,0.167,8.6519,26.0478,0.0000,0.1048,4.4729e-01,1.4650e+06,1.0295e+07,-1,0
0.80,0.094,8.6519,13.2128,0.0000,0.1061,3.9015e-01,1.1000e+04,1.8305e+05,-1,0
1.08,0.136,8.6519,21.0265,0.0000,0.1004,4.1444e-01,3.4400e+05,3.2894e+06,-1,0
0.92,0.081,8.6519,11.9705,0.0000,0.0945,2.1407e-01,5.8000e+03,1.2066e+05,-1,0
1.71,0.150,8.6519,27.0919,0.0000,0.0981,4.5580e-01,2.5520e+06,2.1067e+07,-1,0
1.01,0.175,8.6519,26.4564,0.0000,0.0980,4.4967e-01,1.5280e+06,1.0010e+07,-1,0
1.88,0.117,8.6519,21.8233,0.0000,0.0987,4.1725e-01,6.0300e+05,7.2261e+06,-1,0
1.40,0.165,8.6519,27.8966,0.0000,0.3848,5.4035e-01,1.9980e+06,1.4297e+07,-1,0
